4000512996237;169;1;1;6
4000513011004;166;1;1;7
32943213458;208;0;1;5
4000535016905;169;1;1;7
4001288029510;180;1;1;11
4000494468103;149;0;1;12
4001065652887;167;0;1;9
4000020587689;147;0;1;5
32916666403;147;0;1;6
32851518002;186;0;1;4
4000293184645;217;0;0;0
4000995308195;127;1;1;12
4000602423497;201;1;1;7
4000515934431;126;0;1;5
33063019650;139;0;1;6
4001294893877;214;1;1;3
4000602438032;199;1;1;7
4000710063948;147;0;1;10
4000595039891;122;0;1;5
4000995294350;167;1;1;5
4000592177863;173;1;1;8
4000606090574;200;1;1;8
1005001267327547;150;1;1;5
